City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Puri,IN,86.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
609,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
611,Chimore,BO,77.41,few clouds,-16.9833,-65.1333,Bichito
612,Uruacu,BR,83.64,overcast clouds,-14.5247,-49.1408,Cassius Hotel
613,Lakatoro,VU,79.93,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
616,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
617,Marawi,PH,76.64,overcast clouds,7.9986,124.2928,Derogongan Residence
626,Alappuzha,IN,79.75,overcast clouds,9.49,76.3264,Panoramic Sea Resort
628,Kudat,MY,87.73,scattered clouds,6.8837,116.8477,Dream Garden Hotel
629,Bontang,ID,84.34,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
630,Sao Miguel Do Araguaia,BR,86.52,few clouds,-13.275,-50.1628,Hotel Executivo Palace
638,Fort Worth,US,76.98,clear sky,32.7254,-97.3208,Hilton Fort Worth
640,Pedreiras,BR,75.4,heavy intensity rain,-4.5688,-44.6003,Hotel Princesa do Mearim
645,Along,IN,84.67,scattered clouds,28.1667,94.7667,Hotel West
647,Sungaipenuh,ID,78.91,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
675,Barabai,ID,86.79,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
676,Portland,US,77.41,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
679,Santana Do Mundau,BR,75.18,overcast clouds,-9.1681,-36.2222,Agro-Construções E Pousada 3M
685,Cacu,BR,78.91,clear sky,-18.5567,-51.1308,Império Hotel
686,Aborlan,PH,86.13,overcast clouds,9.4352,118.5492,Kevina Transient House
688,Kimbe,PG,85.26,light rain,-5.5502,150.1429,Kimbe Bay Hotel
