City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
156,Kavieng,-2.5744,150.7967,83.66,72,14,10.2,PG,light rain
157,Susanville,40.4163,-120.653,67.8,33,2,3.0,US,clear sky
158,Busembatia,0.7697,33.6131,64.45,89,100,3.27,UG,overcast clouds
159,Vila,42.0304,-8.1588,53.33,94,100,4.05,PT,light rain
160,Butaritari,3.0707,172.7902,83.66,74,5,10.6,KI,clear sky
161,Qaanaaq,77.484,-69.3632,16.07,69,25,8.66,GL,scattered clouds
162,Digby,44.6169,-65.7655,68.59,89,100,12.39,CA,overcast clouds
163,Kade,52.3833,12.2667,62.98,85,39,10.18,DE,scattered clouds
164,Japura,-0.3167,102.35,85.05,73,46,2.62,ID,scattered clouds
165,Sikeston,36.8767,-89.5879,66.24,68,1,0.0,US,clear sky
166,Sao Joao Da Barra,-21.6403,-41.0511,70.48,70,100,19.19,BR,overcast clouds
167,Guangyuan,32.442,105.823,73.74,94,100,1.1,CN,overcast clouds
168,Lac Du Bonnet,50.2536,-96.0612,52.36,66,91,10.36,CA,overcast clouds
169,Kommunar,59.6206,30.39,46.51,96,100,8.57,RU,light rain
170,Saldanha,-33.0117,17.9442,41.05,86,100,3.0,ZA,overcast clouds
171,Ratnagiri,16.9833,73.3,78.82,85,82,3.67,IN,broken clouds
172,Onega,63.9061,38.1404,45.81,90,100,9.57,RU,overcast clouds
173,Heerde,52.3872,6.0402,62.13,87,100,4.0,NL,overcast clouds
174,Soyo,-6.1349,12.3689,74.75,87,16,4.43,AO,few clouds
175,Namibe,-15.1961,12.1522,64.76,92,53,5.55,AO,broken clouds
176,Mount Isa,-20.7333,139.5,91.17,12,69,5.75,AU,broken clouds
177,Mwene-Ditu,-7.0,23.45,64.9,83,8,3.15,CD,clear sky
178,Bosobolo,4.1833,19.9,67.77,98,99,0.38,CD,overcast clouds
179,Souillac,-20.5167,57.5167,73.36,78,40,11.5,MU,scattered clouds
180,Tyup,42.7276,78.3648,59.34,29,0,1.28,KG,clear sky
181,Male,4.1748,73.5089,81.55,74,100,17.65,MV,overcast clouds
182,Watrous,51.6668,-105.4679,44.38,49,70,8.05,CA,broken clouds
183,Mwense,-10.3845,28.698,66.63,46,84,1.05,ZM,broken clouds
184,Longyearbyen,78.2186,15.6401,40.84,87,75,2.3,SJ,broken clouds
185,Santa Maria,-29.6842,-53.8069,57.92,76,87,3.69,BR,overcast clouds
186,Prince Rupert,54.3161,-130.3201,53.69,100,90,6.91,CA,light rain
187,Dolton,41.6389,-87.6073,72.0,51,90,18.41,US,overcast clouds
188,Ulaangom,49.9811,92.0667,43.36,37,7,6.64,MN,clear sky
189,Smolyaninovo,43.2956,132.4675,65.66,67,100,5.37,RU,overcast clouds
190,Seddon,-37.8068,144.8916,56.88,59,75,7.0,AU,broken clouds
191,Cherskiy,68.75,161.3,36.73,85,100,13.27,RU,overcast clouds
192,Lagoa,39.05,-27.9833,70.18,77,100,16.24,PT,overcast clouds
193,Virginia Beach,36.8529,-75.978,70.0,75,75,5.75,US,broken clouds
194,Syracuse,37.0881,15.2792,72.61,83,0,3.56,IT,clear sky
195,Akyab,20.15,92.9,82.76,80,100,11.77,MM,overcast clouds
196,Gamba,-2.65,10.0,75.29,89,100,5.91,GA,overcast clouds
197,Sorland,67.667,12.6934,48.06,80,100,13.04,NO,light rain
198,Sitka,57.0531,-135.33,48.09,81,75,9.22,US,light rain
199,Zyryanovsk,49.7386,84.2719,37.72,65,68,1.34,KZ,broken clouds
200,Pochutla,15.7432,-96.4661,76.82,90,100,3.96,MX,overcast clouds
201,Cockburn Town,21.4612,-71.1419,82.72,73,97,9.64,TC,overcast clouds
202,Gariadhar,21.5333,71.5833,81.41,81,83,8.28,IN,broken clouds
203,Mitsamiouli,-11.3847,43.2844,75.99,73,0,10.22,KM,clear sky
