City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Cap Malheureux,MU,2021-09-21 20:27:49,-19.9842,57.6142,70.47,69,3,5.99
210,Koslan,RU,2021-09-21 20:27:49,63.4564,48.8989,33.78,86,12,2.75
211,Boca Do Acre,BR,2021-09-21 20:27:50,-8.7522,-67.3978,83.26,61,98,3.38
212,Grand Forks,US,2021-09-21 20:27:50,47.9417,-97.4337,67.93,38,40,6.91
213,Richards Bay,ZA,2021-09-21 20:27:50,-28.783,32.0377,63.93,71,94,9.66
214,Dunedin,NZ,2021-09-21 20:25:14,-45.8742,170.5036,45.36,77,4,4.94
215,Orlandia,BR,2021-09-21 20:27:51,-20.7203,-47.8867,98.74,14,79,2.24
216,Awjilah,LY,2021-09-21 20:27:51,29.1081,21.2869,89.83,16,0,8.59
217,Irtyshskiy,RU,2021-09-21 20:27:52,58.3333,68.1333,38.25,84,98,5.17
218,Namatanai,PG,2021-09-21 20:27:52,-3.6667,152.4333,78.17,84,100,4.63
219,Nyakabindi,TZ,2021-09-21 20:27:52,-2.6333,33.9833,75.83,50,100,10.92
220,Ulaangom,MN,2021-09-21 20:27:53,49.9811,92.0667,42.37,48,54,8.28
221,Daru,PG,2021-09-21 20:27:53,-9.0763,143.2092,76.69,89,41,13.87
222,Watsa,CD,2021-09-21 20:27:53,3.0372,29.5355,64.76,98,100,2.04
223,Vallenar,CL,2021-09-21 20:27:54,-28.5708,-70.7581,72.03,27,1,9.55
224,Dikson,RU,2021-09-21 20:27:42,73.5069,80.5464,33.82,73,100,1.34
225,Lakshmipur,BD,2021-09-21 20:27:54,22.95,90.8333,78.49,86,100,6.4
226,Alvaraes,BR,2021-09-21 20:27:54,-3.2208,-64.8042,93.07,46,71,1.28
227,Araouane,ML,2021-09-21 20:27:55,18.9048,-3.5265,100.99,10,10,2.04
228,San Vicente,AR,2021-09-21 20:27:55,-26.6167,-54.1333,62.53,82,94,7.38
229,Egvekinot,RU,2021-09-21 20:27:55,66.3167,-179.1667,20.79,73,9,4.27
230,Coahuayana,MX,2021-09-21 20:27:56,18.7333,-103.6833,90.88,58,70,6.78
231,Derzhavinsk,KZ,2021-09-21 20:27:56,51.1,66.3167,38.98,61,56,1.66
232,Hobyo,SO,2021-09-21 20:27:56,5.3505,48.5268,77.38,79,1,22.88
233,Yinchuan,CN,2021-09-21 20:27:57,38.4681,106.2731,71.22,20,100,3.96
234,Gwadar,PK,2021-09-21 20:27:57,25.1216,62.3254,81.75,87,67,8.66
235,Ilulissat,GL,2021-09-21 20:27:57,69.2167,-51.1,25.81,90,94,1.83
236,Talaya,RU,2021-09-21 20:27:58,61.3833,152.75,29.61,96,100,5.55
237,Torbay,CA,2021-09-21 20:27:58,47.6666,-52.7314,62.58,64,75,19.57
238,Russkaya Polyana,UA,2021-09-21 20:27:58,49.417,31.9201,44.46,86,100,13.69
239,Arraial Do Cabo,BR,2021-09-21 20:27:59,-22.9661,-42.0278,73.36,88,90,23.02
240,Cawayan,PH,2021-09-21 20:27:59,9.9718,122.6249,77.25,87,100,8.08
241,Okhotsk,RU,2021-09-21 20:28:00,59.3833,143.3,42.6,63,90,10.71
242,Paamiut,GL,2021-09-21 20:28:00,61.994,-49.6678,34.59,56,100,4.54
243,El Alto,PE,2021-09-21 20:28:00,-4.2714,-81.2147,71.26,71,48,23.0
244,Simbahan,PH,2021-09-21 20:28:01,6.3032,120.5836,79.88,79,100,16.22
245,Hirara,JP,2021-09-21 20:28:01,24.8,125.2833,83.62,72,0,3.83
246,Charters Towers,AU,2021-09-21 20:28:01,-20.1,146.2667,51.8,23,21,19.3
247,Broken Hill,AU,2021-09-21 20:24:18,-31.95,141.4333,38.91,75,20,6.91
248,Brae,GB,2021-09-21 20:28:02,60.3964,-1.353,55.31,86,61,32.5
249,Chuy,UY,2021-09-21 20:28:02,-33.6971,-53.4616,55.62,73,7,13.22
250,Wasilla,US,2021-09-21 20:27:45,61.5814,-149.4394,44.02,62,1,0.0
251,Winnemucca,US,2021-09-21 20:28:03,40.973,-117.7357,75.25,15,1,2.64
